,parameter,fitness,sequence
0,1.5,0.00234192037470726,5
1,1.5,0.00234192037470726,20
2,1.5,0.00234192037470726,3
3,1.5,0.00234192037470726,12
4,1.5,0.00234192037470726,9
5,1.5,0.00234192037470726,17
6,1.5,0.00234192037470726,1
7,1.5,0.00234192037470726,25
8,1.5,0.00234192037470726,7
9,1.5,0.00234192037470726,2
10,1.5,0.00234192037470726,15
11,1.5,0.00234192037470726,13
12,1.5,0.00234192037470726,10
13,1.5,0.00234192037470726,0
14,1.5,0.00234192037470726,21
15,1.5,0.00234192037470726,23
16,1.5,0.00234192037470726,12
17,1.5,0.00234192037470726,23
18,1.5,0.00234192037470726,17
19,1.5,0.00234192037470726,7
20,1.5,0.00234192037470726,24
21,1.5,0.00234192037470726,7
22,1.5,0.00234192037470726,10
23,1.5,0.00234192037470726,2
24,1.5,0.00234192037470726,3
25,1.5,0.00234192037470726,23
26,1.5,0.00234192037470726,5
27,1.5,0.00234192037470726,26
28,1.5,0.00234192037470726,1
29,1.5,0.00234192037470726,4
30,1.5,0.00234192037470726,26
31,1.5,0.00234192037470726,22
32,1.5,0.00234192037470726,22
33,1.5,0.00234192037470726,20
34,1.5,0.00234192037470726,18
35,1.5,0.00234192037470726,4
36,1.5,0.00234192037470726,2
37,1.5,0.00234192037470726,14
38,1.5,0.00234192037470726,9
39,1.5,0.00234192037470726,5
40,1.5,0.00234192037470726,0
41,1.5,0.00234192037470726,13
42,1.5,0.00234192037470726,25
43,1.5,0.00234192037470726,0
44,1.5,0.00234192037470726,6
45,1.5,0.00234192037470726,21
46,1.5,0.00234192037470726,19
47,1.5,0.00234192037470726,19
48,1.5,0.00234192037470726,25
49,1.5,0.00234192037470726,21
50,1.5,0.00234192037470726,12
51,1.5,0.00234192037470726,19
52,1.5,0.00234192037470726,11
53,1.5,0.00234192037470726,22
54,1.5,0.00234192037470726,10
55,1.5,0.00234192037470726,14
56,1.5,0.00234192037470726,1
57,1.5,0.00234192037470726,8
58,1.5,0.00234192037470726,20
59,1.5,0.00234192037470726,15
60,1.5,0.00234192037470726,26
61,1.5,0.00234192037470726,13
62,1.5,0.00234192037470726,17
63,1.5,0.00234192037470726,11
64,1.5,0.00234192037470726,16
65,1.5,0.00234192037470726,6
66,1.5,0.00234192037470726,6
67,1.5,0.00234192037470726,18
68,1.5,0.00234192037470726,11
69,1.5,0.00234192037470726,3
70,1.5,0.00234192037470726,16
71,1.5,0.00234192037470726,4
72,1.5,0.00234192037470726,15
73,1.5,0.00234192037470726,8
74,1.5,0.00234192037470726,8
75,1.5,0.00234192037470726,9
76,1.5,0.00234192037470726,14
77,1.5,0.00234192037470726,24
78,1.5,0.00234192037470726,16
79,1.5,0.00234192037470726,18
80,1.5,0.00234192037470726,24
